x,y,theta,left_voltage,right_voltage,left_velo,right_velo,left_accel,right_accel,left_eff,right_eff,dt
-0.058352,-0.010805,0.000000,0,-12,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38
-0.058352,-0.010805,0.000005,3197,3289,55.799999,75.800003,2645.427246,3593.609375,22.659548,29.322824,21093
-0.058352,-0.010805,0.000012,7805,7835,349.600006,348.399994,17482.623047,17422.613281,60.529804,59.927746,19997
-0.058352,-0.010805,0.000016,8365,9252,145.600006,244.800003,7280.728516,12241.224609,25.204185,37.736080,19998
-0.058343,0.039621,-0.000371,7281,8211,107.800003,131.399994,5390.269531,6570.328125,21.879379,23.515764,19999
-0.058886,0.508592,-0.002155,6351,5217,46.599998,27.799999,2329.883545,1389.930420,10.924534,7.980734,20001
-0.060883,1.090660,-0.004858,7811,8162,176.399994,214.399994,8820.440430,10720.536133,33.315006,38.737602,19999
-0.064825,1.710898,-0.007111,8168,8661,186.199997,213.000000,9311.862305,10652.130859,33.481655,35.962906,19996
-0.070086,2.395243,-0.008303,7996,8347,169.000000,196.000000,8448.732422,9798.530273,31.142471,34.572445,20003
-0.077438,3.237341,-0.009783,8414,8858,229.000000,247.600006,11450.572266,12380.619141,39.972683,40.951927,19999
-0.083275,4.243726,-0.013018,9160,9178,282.600006,294.200012,14130.707031,14710.736328,45.102310,46.890682,19999
-0.076026,5.399882,-0.015716,9443,9480,271.799988,308.000000,13587.282227,15396.920898,42.051304,47.359798,20004
-0.077109,6.646728,-0.018076,9375,9573,313.799988,298.600006,15693.922852,14933.733398,48.925465,45.413013,19995
-0.104039,8.064910,-0.019557,9708,9757,338.799988,351.000000,16942.541016,17552.632812,50.853146,52.221020,19997
-0.131476,9.431925,-0.020952,9825,9850,332.799988,340.799988,16639.167969,17039.146484,49.194435,50.136127,20001
-0.163248,10.906931,-0.022729,9924,9954,353.000000,365.600006,17650.000000,18280.000000,51.594391,52.926991,20000
-0.200328,12.438740,-0.025441,9973,10016,363.000000,362.200012,18146.371094,18106.378906,52.731216,51.970638,20004
-0.246552,14.167046,-0.028138,10460,6277,394.399994,269.799988,19725.917969,13494.047852,54.344097,62.535130,19994
-0.283097,15.876185,-0.029641,10650,5883,369.600006,284.600006,18478.152344,14228.577148,49.977348,68.684258,20002
-0.324546,17.654385,-0.031017,10823,4293,412.200012,269.000000,20614.123047,13452.690430,54.834808,80.460976,19996
-0.378514,19.426430,-0.029236,10860,3314,404.399994,218.800003,20218.988281,10939.453125,53.575428,78.380142,20001
-0.454029,21.259317,-0.025301,10946,2655,414.799988,179.800003,20743.111328,8991.348633,54.371555,0.000000,19997
-0.560448,23.028988,-0.019167,10983,2538,439.200012,198.800003,21962.197266,9940.994141,57.317776,0.000000,19998
-0.691610,24.999634,-0.009809,11026,3807,430.399994,298.399994,21520.000000,14920.000000,55.731052,0.000000,20000
