volt,velo,accel,dt
0.0,-0.0,0.0,31.0
0.0,-0.0,0.0,19201.0
-6.0,-0.0,0.0,19998.0
-6.0,-0.0,0.0,19999.0
0.0,-0.0,0.0,20000.0
12.0,-0.0,0.0,20000.0
0.0,-0.0,0.0,19998.0
6.0,-0.0,0.0,20000.0
0.0,-0.0,0.0,20000.0
6.0,-0.0,0.0,19999.0
0.0,-0.0,0.0,20000.0
6.0,-0.0,0.0,19998.0
0.0,-0.0,0.0,20002.0
0.0,-0.0,0.0,19996.0
0.0,-0.0,0.0,19999.0
0.0,-0.0,0.0,20000.0
0.0,-0.0,0.0,19999.0
6.0,-0.0,0.0,20001.0
0.0,-0.0,0.0,19997.0
0.0,-0.0,0.0,19998.0
0.0,-0.0,0.0,20000.0
0.0,-0.0,0.0,19999.0
0.0,-0.0,0.0,20002.0
6.0,-0.0,0.0,19996.0
0.0,-0.0,0.0,19999.0
0.0,-0.0,0.0,19999.0
6.0,-0.0,0.0,19999.0
0.0,-0.0,0.0,19999.0
0.0,-0.0,0.0,19999.0
0.0,-0.0,0.0,19999.0
6.0,-0.0,0.0,19999.0
12.0,-0.0,0.0,19999.0
0.0,-0.0,0.0,20000.0
0.0,-0.0,0.0,19998.0
0.0,-0.0,0.0,19999.0
6.0,-0.0,0.0,20000.0
6.0,-0.0,0.0,19998.0
0.0,-0.0,0.0,20000.0
6.0,-0.0,0.0,19999.0
-6.0,-0.0,0.0,19999.0
6.0,-0.0,0.0,20000.0
6.0,-0.0,0.0,19999.0
6.0,-0.0,0.0,20000.0
0.0,-0.0,0.0,19999.0
0.0,-0.0,0.0,19999.0
6.0,-0.0,0.0,20059.0
6.0,-0.0,0.0,19939.0
6.0,-0.0,0.0,19999.0
0.0,-0.0,0.0,19999.0
0.0,-0.0,0.0,19999.0
0.0,-0.0,0.0,20058.0
6.0,-0.0,0.0,19940.0
0.0,-0.0,0.0,19999.0
0.0,-0.0,0.0,19999.0
6.0,-0.0,0.0,19999.0
0.0,-0.0,0.0,20964.0
0.0,-0.0,0.0,19998.0
-6.0,-0.0,0.0,19999.0
6.0,-0.0,0.0,20000.0
6.0,-0.0,0.0,20014.0
930.0,-0.0,0.0,19996.0
3739.0,71.4,3571.786,19990.0
8088.0,160.6,8026.3887,20009.0
5833.0,86.4,4322.161,19990.0
5809.0,38.4,1920.0961,19999.0
7700.0,166.8,8340.0,20000.0
7546.0,120.8,6040.3022,19999.0
7392.0,115.6,5780.578,19998.0
8704.0,238.6,11930.0,20000.0
8495.0,211.2,10561.056,19998.0
9363.0,255.8,12790.0,20000.0
9246.0,280.2,14010.701,19999.0
9129.0,255.6,12780.64,19999.0
9696.0,319.6,15980.8,19999.0
9930.0,321.4,16070.804,19999.0
10059.0,339.4,16970.848,19999.0
10182.0,352.6,17630.883,19999.0
10250.0,371.0,18550.0,20000.0
10342.0,385.4,19271.928,19998.0
10392.0,397.0,19850.992,19999.0
10484.0,415.4,20763.771,20006.0
8556.0,357.2,17869.828,19989.0
4349.0,264.8,13240.661,19999.0
3560.0,248.4,12420.621,19999.0
3215.0,242.8,12132.721,20012.0
3068.0,224.6,11230.562,19999.0
6363.0,338.4,16928.465,19990.0
10078.0,533.4,26671.334,19999.0
10848.0,471.8,23591.18,19999.0
