,left_voltage,right_voltage,left_velo,right_velo,dt
0,0,0,0.0,-0.0,31
1,0,6,0.0,-0.0,19201
2,6,6,0.0,-0.0,19998
3,6,0,0.0,-0.0,19999
4,0,0,0.0,-0.0,20000
5,-12,0,0.0,-0.0,20000
6,0,0,0.0,-0.0,19998
7,-6,0,0.0,-0.0,20000
8,0,6,0.0,-0.0,20000
9,-6,0,0.0,-0.0,19999
10,0,0,0.0,-0.0,20000
11,-6,0,0.0,-0.0,19998
12,0,0,0.0,-0.0,20002
13,0,12,0.0,-0.0,19996
14,0,6,0.0,-0.0,19999
15,0,0,0.0,-0.0,20000
16,0,0,0.0,-0.0,19999
17,-6,6,0.0,-0.0,20001
18,0,0,0.0,-0.0,19997
19,0,-6,0.0,-0.0,19998
20,0,0,0.0,-0.0,20000
21,0,0,0.0,-0.0,19999
22,0,0,0.0,-0.0,20002
23,-6,0,0.0,-0.0,19996
24,0,6,0.0,-0.0,19999
25,0,6,0.0,-0.0,19999
26,-6,0,0.0,-0.0,19999
27,0,0,0.0,-0.0,19999
28,0,6,0.0,-0.0,19999
29,0,6,0.0,-0.0,19999
30,-6,0,0.0,-0.0,19999
31,-12,6,0.0,-0.0,19999
32,0,0,0.0,-0.0,20000
33,0,0,0.0,-0.0,19998
34,0,6,0.0,-0.0,19999
35,-6,0,0.0,-0.0,20000
36,-6,0,0.0,-0.0,19998
37,0,0,0.0,-0.0,20000
38,-6,0,0.0,-0.0,19999
39,6,0,0.0,-0.0,19999
40,-6,12,0.0,-0.0,20000
41,-6,6,0.0,-0.0,19999
42,-6,-6,0.0,-0.0,20000
43,0,0,0.0,-0.0,19999
44,0,6,0.0,-0.0,19999
45,-6,0,0.0,-0.0,20059
46,-6,0,0.0,-0.0,19939
47,-6,0,0.0,-0.0,19999
48,0,6,0.0,-0.0,19999
49,0,0,0.0,-0.0,19999
50,0,0,0.0,-0.0,20058
51,-6,0,0.0,-0.0,19940
52,0,6,0.0,-0.0,19999
53,0,0,0.0,-0.0,19999
54,-6,0,0.0,-0.0,19999
55,0,0,0.0,-0.0,20964
56,0,0,0.0,-0.0,19998
57,6,0,0.0,-0.0,19999
58,-6,0,0.0,-0.0,20000
59,-6,0,0.0,-0.0,20014
60,-930,-906,0.0,-0.0,19996
61,-3739,-4084,-71.400002,-23.6,19990
62,-8088,-8365,-160.600006,-227.800003,20009
63,-5833,-5649,-86.400002,-134.399994,19990
64,-5809,-4029,-38.400002,-0.0,19999
65,-7700,-7897,-166.800003,-207.199997,20000
66,-7546,-9191,-120.800003,-213.399994,19999
67,-7392,-7490,-115.599998,-105.800003,19998
68,-8704,-8390,-238.600006,-204.0,20000
69,-8495,-9289,-211.199997,-279.0,19998
70,-9363,-9123,-255.800003,-268.600006,20000
71,-9246,-9585,-280.200012,-309.799988,19999
72,-9129,-9813,-255.600006,-324.0,19999
73,-9696,-9837,-319.600006,-310.600006,19999
74,-9930,-10004,-321.399994,-370.0,19999
75,-10059,-10115,-339.399994,-367.600006,19999
76,-10182,-10195,-352.600006,-379.399994,19999
77,-10250,-10281,-371.0,-387.600006,20000
78,-10342,-10386,-385.399994,-415.799988,19998
79,-10392,-10441,-397.0,-425.0,19999
80,-10484,-10521,-415.399994,-438.200012,20006
81,-8556,-7287,-357.200012,-367.200012,19989
82,-4349,-4410,-264.799988,-268.399994,19999
83,-3560,-3665,-248.399994,-253.399994,19999
84,-3215,-3345,-242.800003,-239.199997,20012
85,-3068,474,-224.600006,-158.199997,19999
86,-6363,4367,-338.399994,-113.400002,19990
87,-10078,5587,-533.400024,-113.400002,19999
88,-10848,5532,-471.799988,-115.199997,19999
89,-10429,5624,-382.200012,-95.400002,19999
90,-9979,5642,-288.0,-95.400002,19999
91,-9917,5630,-314.0,-127.0,20000
92,-9880,5809,-304.399994,13.4,19998
93,-9782,7989,-323.0,201.600006,19999
94,-9807,7860,-302.0,129.399994,19999
95,-9917,7466,-343.0,159.199997,20000
96,-9862,8310,-317.200012,212.399994,19999
97,-9819,9160,-335.200012,248.800003,19998
98,-9819,9074,-326.200012,244.800003,19999
99,-9899,9474,-341.600006,295.399994,19999
100,-9874,9628,-350.0,286.200012,19999
101,-9887,9646,-314.799988,317.600006,20001
102,-9936,9874,-353.799988,317.799988,19998
103,-10004,9954,-342.0,334.0,20000
104,-10016,9961,-359.399994,338.0,19999
105,-10034,10071,-333.799988,365.399994,19999
106,-10182,10207,-377.0,400.799988,19998
107,-10188,10244,-353.799988,396.200012,20000
108,-10256,10299,-374.0,410.200012,20008
109,-6733,8562,-290.399994,376.799988,19997
110,-5519,5679,-309.799988,297.799988,19989
111,-3887,3838,-255.0,245.0,19999
112,-3222,2790,-222.800003,189.0,20000
113,-2661,2439,-192.199997,183.600006,20000
114,-2255,3197,-184.199997,261.399994,20012
115,-2526,1774,-191.600006,275.600006,19998
116,-5963,-4263,-263.600006,30.6,19990
117,-9911,-5599,-512.0,-17.4,19998
118,-10219,-5538,-280.200012,-17.4,20000
119,-9406,-6024,-200.0,-11.8,19999
120,-8772,-5981,-199.800003,-5.8,19999
121,-8833,-6831,-251.199997,-114.599998,19998
122,-9412,-8045,-250.600006,-163.800003,20000
123,-8636,-7903,-255.0,-137.600006,19999
124,-9548,-8341,-311.399994,-195.0,19999
125,-9708,-8987,-328.600006,-256.0,19999
126,-9745,-9511,-306.799988,-270.0,19999
127,-9844,-9209,-348.600006,-284.0,20004
128,-8273,-9862,-306.0,-315.399994,19999
129,-6320,-10392,-275.399994,-338.399994,19994
130,-3671,-10669,-246.600006,-378.0,20000
131,-3061,-10798,-220.0,-387.200012,19998
132,-2618,-10860,-198.399994,-396.399994,20005
133,2439,-10749,-155.800003,-406.0,19998
134,2433,-10657,17.200001,-420.399994,19994
135,4885,-10570,0.0,-434.399994,20000
136,6696,-10090,41.799999,-424.200012,19998
137,5735,-10484,41.799999,-459.600006,20000
138,5735,-10373,60.799999,-433.799988,19999
139,5833,-10379,56.200001,-419.0,19998
140,6222,-10336,37.799999,-415.399994,20000
141,7866,-10213,148.800003,-409.399994,19999
142,7792,-10201,135.399994,-418.799988,20000
143,7940,-10188,167.199997,-425.799988,19998
144,8119,-10102,194.600006,-394.0,19999
145,8759,-10078,217.0,-409.0,19999
146,8655,-10078,231.0,-395.200012,19999
147,9529,-10115,289.0,-413.799988,20008
148,7115,-8661,263.200012,-390.600006,19999
149,1749,-6955,178.399994,-342.399994,19999
150,-2131,-3302,19.200001,-196.199997,20000
151,-3807,-5642,-32.200001,-265.200012,19990
152,-6850,-9517,-72.199997,-466.200012,19999
153,-5864,-10804,-39.599998,-537.400024,20000
154,-7367,-10466,-123.199997,-473.200012,19998
155,-7669,-9887,-149.800003,-298.200012,20000
156,-7318,-9782,-88.800003,-345.600006,19998
157,-6838,-9961,-81.0,-338.200012,19999
158,-7607,-9837,-140.600006,-337.600006,19999
159,-7983,-9905,-151.800003,-370.799988,19999
160,-7583,-9973,-149.399994,-355.0,20000
161,-8316,-10016,-204.199997,-377.799988,19998
162,-8987,-9991,-245.800003,-382.200012,19999
163,-9338,-10059,-261.600006,-403.399994,19999
164,-9505,-10053,-284.200012,-390.399994,20000
165,-9893,-10108,-301.0,-408.799988,19998
166,-10034,-10232,-332.399994,-413.799988,20000
167,-10041,-10275,-315.799988,-423.600006,20004
168,-10379,-8445,-374.200012,-393.399994,19999
169,-10706,-4460,-363.799988,-247.800003,19998
170,-10601,-1521,-378.600006,-205.399994,19995
171,-10306,5279,-398.799988,45.599998,20003
172,-10453,4195,-408.600006,45.599998,19994
173,-10577,2723,-410.0,-71.400002,20000
174,-9911,7127,-379.799988,-20.4,19998
175,-10275,5261,-386.600006,-20.4,20004
176,-8451,5495,-343.600006,-12.4,19995
177,-6074,5298,-276.600006,-12.4,20004
178,-5193,6456,-299.200012,86.199997,20001
179,-3339,7065,-213.199997,145.600006,19993
180,-2667,7768,-196.600006,154.399994,19999
181,-2304,8883,-176.199997,185.0,19999
182,-2076,8729,-161.399994,215.0,20000
183,-1860,8864,-150.199997,215.199997,19999
