x,y,theta,left_voltage,right_voltage,left_velo,right_velo,left_accel,right_accel,left_eff,right_eff,dt
-0.026655,-0.035299,0.000000,12,0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1117
-0.026655,-0.035299,0.000006,0,-6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19997
-0.026655,-0.035299,0.000014,1257,-1281,22.200001,-32.799999,1110.333130,-1640.492065,24.260708,34.173946,19994
-0.026655,-0.035299,0.000024,3677,-3665,89.199997,-147.000000,4462.900879,-7354.780762,33.863258,54.371174,19987
-0.026655,-0.035299,0.000037,4127,-4244,87.000000,-211.399994,4348.478027,-10566.301758,30.580784,69.225647,20007
-0.026655,-0.035299,0.001197,7115,-8242,98.800003,-275.799988,4942.224121,-13796.208008,20.133642,46.217224,19991
0.027167,-0.071860,0.006336,7053,-8032,98.400002,-125.000000,4920.000000,-6250.000000,20.537020,22.657846,20000
0.144216,-0.114225,0.017522,7595,-6018,110.199997,-34.000000,5509.724121,-1699.915039,21.467079,8.431041,20001
0.381609,-0.070474,0.039906,7583,-7435,134.600006,-140.399994,6729.327148,-7019.297852,26.187771,27.956209,20002
0.461678,0.032129,0.068463,8156,-8587,187.199997,-219.000000,9362.340820,-10952.738281,33.792168,37.401749,19995
0.423304,0.184140,0.100708,8371,-8408,187.800003,-161.800003,9390.939453,-8090.809082,32.968063,28.314318,19998
0.395624,0.322046,0.140193,8722,-8408,210.800003,-200.800003,10537.366211,-10037.491211,35.452194,35.110302,20005
0.377912,0.454605,0.186601,8649,-9104,218.399994,-238.600006,10922.184570,-11932.386719,37.048599,38.362648,19996
0.351062,0.641650,0.238205,9111,-9375,259.399994,-263.600006,12973.243164,-13183.295898,41.679924,41.051247,19995
0.338816,0.827277,0.294376,9425,-9419,288.200012,-256.799988,14408.559570,-12838.715820,44.684582,39.831207,20002
0.358174,1.013947,0.354684,9240,-9640,284.200012,-289.000000,14212.132812,-14452.167969,45.038570,43.726643,19997
0.315412,1.270106,0.420809,9874,-9745,322.200012,-310.600006,16108.389648,-15528.447266,47.573166,46.465763,20002
0.313078,1.515330,0.490557,10078,-10170,308.000000,-340.600006,15400.770508,-17030.851562,44.519604,48.689526,19999
0.374808,1.706867,0.563560,10139,-10244,329.600006,-357.600006,16484.121094,-17884.470703,47.409306,50.649014,19995
0.303434,1.962114,0.638832,10281,-10306,370.799988,-354.000000,18538.146484,-17698.230469,52.431488,49.791000,20002
0.372839,2.145654,0.718966,10336,-10398,361.200012,-374.799988,18062.710938,-18742.810547,50.699631,52.125549,19997
0.472735,2.409906,0.802641,10447,-10478,393.399994,-390.200012,19669.015625,-19509.025391,54.400452,53.639023,20001
0.642651,2.688902,0.890398,10453,-10503,366.600006,-385.000000,18330.000000,-19250.000000,50.640514,52.611153,20000
0.825041,2.932796,0.980106,10509,-10478,409.600006,-383.799988,20483.072266,-19192.878906,56.023228,52.618488,19997
0.956887,3.231794,1.071750,10577,-10583,423.000000,-395.200012,21138.373047,-19749.138672,57.414452,53.630238,20011
1.224040,3.460990,1.165832,8649,-8150,349.399994,-318.200012,17474.369141,-15913.979492,57.970074,56.332764,19995
1.446103,3.662868,1.262108,5723,-4608,315.799988,-240.000000,15797.898438,-12006.002930,79.654984,76.253532,19990
1.660277,3.942904,1.358063,4361,-3246,290.200012,-208.800003,14510.000977,-10440.000000,94.246490,93.348351,20000
2.071039,4.165168,1.450328,3893,-2476,264.399994,-175.800003,13222.644531,-8791.758789,91.273186,95.620377,19996
2.350197,4.261427,1.538334,3616,-2113,260.000000,-161.399994,12998.700195,-8069.192871,65.259766,81.620934,20002
