volt,velo
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
6.0,-0.0
-0.0,-0.0
6.0,-0.0
6.0,-0.0
6.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
6.0,-0.0
-0.0,-0.0
6.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
-6.0,-0.0
-0.0,-0.0
6.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
6.0,-0.0
-0.0,-0.0
12.0,-0.0
-0.0,-0.0
-0.0,-0.0
6.0,-0.0
-0.0,-0.0
-0.0,-0.0
-6.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
6.0,-0.0
-0.0,-0.0
-6.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
-6.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
-0.0,-0.0
6.0,-0.0
-0.0,-0.0
-0.0,-0.0
-345.0,-0.0
-1953.0,-19.8
-4946.0,-190.2
-8864.0,-383.8
-6708.0,-154.8
-5427.0,-36.4
-7607.0,-187.6
-8359.0,-159.8
-7299.0,-70.4
-6616.0,-103.6
-9012.0,-321.4
-9221.0,-230.4
-8464.0,-174.8
-9098.0,-274.6
-9480.0,-289.4
-9603.0,-310.4
-9770.0,-324.2
-9880.0,-347.6
-9985.0,-363.4
-10078.0,-381.4
-6376.0,-275.2
-3252.0,-187.4
-1934.0,-134.4
-1509.0,-122.8
-2224.0,-192.8
-3677.0,-297.8
-4213.0,-302.2
554.0,-154.4
5150.0,44.4
3154.0,29.4
5045.0,-0.0
4780.0,-0.0
5150.0,-0.0
6998.0,83.4
6702.0,92.8
7885.0,129.8
7127.0,129.8
7515.0,144.6
7607.0,159.6
8359.0,169.4
3308.0,91.6
437.0,43.6
55.0,16.0
49.0,14.2
228.0,9.4
634.0,21.4
1029.0,102.0
1078.0,89.6
825.0,75.4
49.0,18.2
-1959.0,-10.4
-7010.0,-268.4
-9265.0,-240.0
-8082.0,-94.6
-7515.0,-128.0
