x,y,theta,left_voltage,right_voltage,left_velo,right_velo,left_accel,right_accel,left_eff,right_eff,dt
-0.066996,-0.062674,0.000000,0,-6,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1123
-0.066996,-0.062674,0.000006,-3283,3308,-78.400002,25.200001,-3920.784180,1260.252075,30.263678,9.603325,19996
-0.066996,-0.062674,0.000015,-5298,5334,-142.399994,246.800003,-7119.643555,12339.382812,37.236332,62.401478,20001
-0.066988,-0.075640,-0.000606,-6314,6419,-73.199997,247.800003,-3660.548828,12391.859375,16.802080,53.542500,19997
-0.075551,-0.272229,-0.004892,-4103,8803,-68.400002,195.399994,-3420.000000,9770.000000,24.770117,31.013155,20000
-0.197002,-0.447276,-0.017834,-6511,3191,-125.400002,0.000000,-6273.136719,0.000000,28.231335,0.000000,19990
-0.275397,-0.780180,-0.039604,-7977,6388,-150.600006,119.800003,-7531.506836,5991.198242,27.456545,27.767439,19996
-0.166915,-1.208461,-0.065331,-8173,9480,-173.399994,264.000000,-8670.433594,13200.660156,31.172035,40.424114,19999
-0.017304,-1.789636,-0.093787,-8032,8753,-178.399994,160.199997,-8920.000000,8010.000000,32.750885,26.860085,20000
0.233017,-2.414746,-0.130731,-8519,8599,-223.600006,196.399994,-11179.441406,9819.508789,38.581387,33.603039,20001
0.475931,-3.115278,-0.177624,-8173,9591,-212.399994,267.399994,-10620.000000,13370.000000,38.271282,40.730858,20000
0.833049,-3.929579,-0.229344,-9018,9837,-264.200012,297.799988,-13211.982422,14892.233398,42.966805,44.112003,19997
1.230347,-4.773820,-0.284395,-9221,10016,-256.000000,283.200012,-12801.280273,14161.416992,40.658806,41.185848,19998
1.677831,-5.679359,-0.346875,-9412,10152,-295.200012,322.200012,-14759.262695,16109.195312,45.920830,46.191746,20001
2.256418,-6.606424,-0.415146,-9979,10201,-318.799988,336.200012,-15939.999023,16810.000000,46.598228,47.932827,20000
2.930324,-7.599661,-0.487878,-9961,10318,-316.200012,353.399994,-15813.163086,17673.535156,46.273762,49.613369,19996
3.718266,-8.408048,-0.563972,-10232,10392,-342.799988,380.200012,-17140.000000,19010.000000,48.748390,52.727100,20000
4.631735,-9.308387,-0.644977,-10367,10478,-356.799988,390.200012,-17840.890625,19510.976562,49.935810,53.428333,19999
5.738029,-10.174502,-0.729619,-10453,10607,-359.200012,407.000000,-17960.000000,20350.000000,49.776150,54.650059,20000
6.839046,-11.033468,-0.817693,-10577,10681,-387.000000,415.799988,-19348.064453,20787.919922,52.840240,55.261013,20002
8.061972,-11.764249,-0.910068,-10644,10718,-409.399994,419.799988,-20472.046875,20992.097656,55.289722,55.376434,19998
9.469440,-12.379783,-1.004527,-10663,10768,-394.799988,443.399994,-19742.960938,22173.326172,53.095299,58.164967,19997
10.928812,-12.917414,-1.102292,-10712,10811,-413.000000,441.600006,-20652.064453,22082.208984,55.157921,57.525616,19998
12.484182,-13.330380,-1.202606,-10749,10866,-418.600006,452.200012,-20931.046875,22611.130859,55.701332,58.306808,19999
14.171779,-13.536225,-1.303680,-10804,10885,-429.399994,448.000000,-21466.779297,22396.640625,56.658817,57.407650,20003
15.810187,-13.656491,-1.406774,-10866,10989,-446.200012,477.200012,-22315.580078,23865.966797,58.340824,60.334976,19995
17.488777,-13.510564,-1.511332,-10891,11020,-436.200012,465.000000,-21808.910156,23248.837891,56.695877,58.395138,20001
19.178396,-13.130172,-1.617581,-10983,11082,-445.600006,477.000000,-22283.343750,23853.578125,57.242306,59.177692,19997
20.777609,-12.675813,-1.725484,-10971,11088,-446.200012,478.200012,-22311.115234,23911.195312,57.414097,59.082943,19999
22.407915,-12.014120,-1.833628,-10983,11106,-442.399994,477.200012,-22116.681641,23856.421875,56.914856,58.579399,20003
23.940964,-11.256924,-1.942163,-11032,11149,-455.000000,488.000000,-22752.275391,24402.439453,58.229851,59.433979,19998
25.435255,-10.218013,-2.052406,-11069,11149,-484.200012,487.399994,-24211.210938,24371.218750,61.566925,59.277206,19999
26.711103,-8.967687,-2.164529,-11076,11131,-466.399994,468.399994,-23322.332031,23422.341797,59.079964,57.229939,19998
27.998177,-7.686452,-2.276963,-11094,11180,-477.399994,493.200012,-23871.193359,24661.234375,60.258488,60.043015,19999
29.060490,-6.300558,-2.389704,-11076,11180,-443.399994,501.399994,-22166.673828,25066.240234,56.073444,60.841591,20003
30.058823,-4.782431,-2.503797,-11094,11205,-456.000000,509.200012,-22804.560547,25465.093750,57.659996,61.274857,19996
30.817209,-3.164178,-2.619328,-11112,11230,-452.000000,520.799988,-22600.000000,26040.000000,57.214363,62.169964,20000
31.333363,-1.453830,-2.736689,-11149,11291,-470.000000,517.000000,-23500.000000,25850.000000,59.260918,60.906052,20000
31.639730,0.384608,-2.854810,-11156,11260,-477.000000,513.799988,-23852.384766,25692.568359,59.965965,60.272343,19998
31.912554,2.125745,-2.971952,-11168,11273,-462.799988,529.799988,-23138.841797,26488.675781,58.019348,62.335861,20001
31.751337,3.954377,-3.089839,-11168,11266,-474.200012,529.000000,-23712.371094,26452.644531,59.282326,62.479385,19998
31.465857,5.804905,-3.206688,-11168,11279,-479.799988,516.799988,-23837.439453,25675.675781,60.114021,60.939644,20128
30.949408,7.509025,-3.324124,-11156,11316,-477.200012,526.000000,-24017.314453,26473.400391,59.987614,61.484306,19869
30.180433,9.198739,-3.442780,-11156,11273,-471.399994,530.400024,-23572.357422,26522.654297,59.326778,62.311619,19998
29.269873,10.769225,-3.561942,-11180,11266,-474.600006,529.200012,-23725.255859,26454.708984,59.414215,62.375225,20004
