time,x,y,theta,left_velocity,right_velocity,left_voltage,right_voltage,left_actual_velocity,right_actual_velocity,left_actual_voltage,right_actual_voltage,clamp,intake,conveyor
6631592,0.000005,0.001697,0.000722,0,0,0,0,0.000000,0.000000,2.000000,2.000000,0,-0.000000,0.000000
6640966,0.000006,0.001790,0.000709,0,0,0,0,0.000000,0.000000,-2.000000,-2.000000,0,-0.000000,0.000000
6650964,0.000005,0.001659,0.000727,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
6660965,0.000005,0.001514,0.000746,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
6670965,0.000004,0.001332,0.000770,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
6680965,0.000004,0.001366,0.000765,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
6690965,0.000005,0.001477,0.000751,0,0,0,0,0.000000,0.000000,0.000000,2.000000,0,-0.000000,0.000000
6700966,0.000005,0.001550,0.000741,0,0,0,0,0.000000,0.000000,2.000000,-4.000000,0,-0.000000,0.000000
6710965,0.000005,0.001602,0.000734,0,0,0,0,0.000000,0.000000,-4.000000,0.000000,0,-0.000000,0.000000
6720964,0.000005,0.001510,0.000746,0,0,0,0,0.000000,0.000000,0.000000,-4.000000,0,-0.000000,0.000000
6730965,0.000004,0.001336,0.000769,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
6740964,0.000004,0.001162,0.000792,0,0,0,0,0.000000,0.000000,-6.000000,-2.000000,0,-0.000000,0.000000
6750965,0.000003,0.000977,0.000816,0,0,0,0,0.000000,0.000000,-4.000000,0.000000,0,-0.000000,0.000000
6760964,0.000002,0.000784,0.000842,0,0,0,0,0.000000,0.000000,0.000000,-2.000000,0,-0.000000,0.000000
6770965,0.000002,0.000769,0.000844,0,0,0,0,0.000000,0.000000,0.000000,-2.000000,0,-0.000000,0.000000
6780964,0.000002,0.000713,0.000851,0,0,0,0,0.000000,0.000000,2.000000,2.000000,0,-0.000000,0.000000
6790965,0.000003,0.000901,0.000826,0,0,0,0,0.000000,0.000000,0.000000,4.000000,0,-0.000000,0.000000
6800965,0.000003,0.001044,0.000808,0,0,0,0,0.000000,0.000000,-4.000000,-2.000000,0,-0.000000,0.000000
6810966,0.000004,0.001161,0.000792,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
6820965,0.000004,0.001221,0.000784,0,0,0,0,0.000000,0.000000,-6.000000,0.000000,0,-0.000000,0.000000
6830964,0.000004,0.001315,0.000772,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
6840965,0.000004,0.001239,0.000782,0,0,0,0,0.000000,0.000000,4.000000,0.000000,0,-0.000000,0.000000
6850966,0.000004,0.001363,0.000766,0,0,0,0,0.000000,0.000000,-4.000000,0.000000,0,-0.000000,0.000000
6860965,0.000005,0.001590,0.000736,0,0,0,0,0.000000,0.000000,-4.000000,-2.000000,0,-0.000000,0.000000
6870965,0.000006,0.001802,0.000708,0,0,0,0,0.000000,0.000000,-2.000000,2.000000,0,-0.000000,0.000000
6880965,0.000007,0.002229,0.000652,0,0,0,0,0.000000,0.000000,0.000000,2.000000,0,-0.000000,0.000000
6890965,0.000008,0.002629,0.000599,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
6915926,0.000008,0.002481,0.000618,0,0,0,0,0.000000,0.000000,0.000000,2.000000,0,-0.000000,0.000000
6925927,0.000007,0.002218,0.000653,0,0,0,0,0.000000,0.000000,-4.000000,2.000000,0,-0.000000,0.000000
6935926,0.000006,0.001990,0.000683,0,0,0,0,0.000000,0.000000,-4.000000,-2.000000,0,-0.000000,0.000000
6945927,0.000006,0.001763,0.000713,0,0,0,0,0.000000,0.000000,-4.000000,-2.000000,0,-0.000000,0.000000
6955927,0.000005,0.001603,0.000734,0,0,0,0,0.000000,0.000000,-2.000000,2.000000,0,-0.000000,0.000000
6965926,0.000005,0.001575,0.000738,0,0,0,0,0.000000,0.000000,2.000000,0.000000,0,-0.000000,0.000000
6975927,0.000005,0.001724,0.000718,0,0,0,0,0.000000,0.000000,-4.000000,-4.000000,0,-0.000000,0.000000
6985926,0.000005,0.001488,0.000749,0,0,0,0,0.000000,0.000000,2.000000,0.000000,0,-0.000000,0.000000
6995927,0.000004,0.001290,0.000775,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
7005927,0.000004,0.001197,0.000787,0,0,0,0,0.000000,0.000000,0.000000,2.000000,0,-0.000000,0.000000
7015927,0.000003,0.001035,0.000809,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
7025927,0.000003,0.001052,0.000806,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
7035927,0.000004,0.001113,0.000798,0,0,0,0,0.000000,0.000000,-4.000000,-2.000000,0,-0.000000,0.000000
7045927,0.000004,0.001188,0.000789,0,0,0,0,0.000000,0.000000,-4.000000,0.000000,0,-0.000000,0.000000
7055927,0.000004,0.001351,0.000767,0,0,0,0,0.000000,0.000000,-2.000000,-2.000000,0,-0.000000,0.000000
7065927,0.000005,0.001446,0.000755,0,0,0,0,0.000000,0.000000,-4.000000,-2.000000,0,-0.000000,0.000000
