time,x,y,theta,left_voltage,right_voltage,left_velocity,right_velocity,left_actual_velocity,right_actual_velocity,left_actual_voltage,right_actual_voltage
6037180,-0.000003,-0.000995,0.000321,12000,-12000,0,0,66.933333,-91.666667,-nan,0.000000
6046955,-0.000003,-0.001257,0.000356,12000,-12000,0,0,169.333333,-173.400000,-nan,0.000000
6056952,-0.000024,-0.007848,0.001224,12000,-12000,0,0,169.200000,-199.933333,-nan,0.000000
6066953,-0.000181,-0.036428,0.004986,12000,-12000,0,0,171.066667,-154.466667,-nan,0.000000
6076953,-0.000703,-0.085690,0.011472,12000,-12000,0,0,162.200000,-123.733333,-nan,0.000000
6086953,-0.001003,-0.093796,0.020885,12000,-12000,0,0,174.533333,-88.800000,-nan,0.000000
6096952,-0.003761,-0.187492,0.033225,12000,-12000,0,0,207.533333,-118.133333,-nan,0.000000
6106953,0.004637,0.026904,0.047466,12000,-12000,0,0,223.200000,-146.400000,-nan,0.000000
6116952,-0.002285,-0.092868,0.063260,12000,-12000,0,0,238.533333,-141.133333,-nan,0.000000
6126953,0.021996,0.248140,0.080751,12000,-12000,0,0,240.200000,-102.800000,-nan,0.000000
6136952,0.010072,0.118461,0.097895,12000,-12000,0,0,230.266667,-144.133333,-nan,0.000000
6146953,0.060302,0.585807,0.117764,12000,-12000,0,0,250.533333,-162.333333,-nan,0.000000
6156952,0.038313,0.419171,0.139892,12000,-12000,0,0,286.000000,-160.133333,-nan,0.000000
6166953,0.118255,0.945548,0.163119,12000,-12000,0,0,300.133333,-164.866667,-nan,0.000000
6176953,0.085199,0.761586,0.187726,12000,-12000,0,0,304.133333,-155.333333,-nan,0.000000
6186953,0.200798,1.332274,0.213587,12000,-12000,0,0,304.933333,-162.200000,-nan,0.000000
6196953,0.154174,1.132652,0.240575,12000,-12000,0,0,324.933333,-171.800000,-nan,0.000000
6206953,0.319565,1.769762,0.268955,12000,-12000,0,0,333.800000,-158.600000,-nan,0.000000
6216952,0.255772,1.552986,0.298704,12000,-12000,0,0,350.400000,-179.333333,-nan,0.000000
6226953,0.509109,2.334243,0.329798,12000,-12000,0,0,360.133333,-183.666667,-nan,0.000000
6236953,0.424401,2.101096,0.362456,12000,-12000,0,0,373.266667,-179.266667,-nan,0.000000
6246953,0.729187,2.867030,0.396467,12000,-12000,0,0,368.000000,-186.733333,-nan,0.000000
6256953,0.622423,2.625507,0.431233,12000,-12000,0,0,367.066667,-251.333333,-nan,0.000000
6266953,0.960371,3.327414,0.467891,12000,-12000,0,0,394.800000,-245.866667,-nan,0.000000
6276953,0.824349,3.071975,0.505992,12000,-12000,0,0,409.400000,-238.533333,-nan,0.000000
6286954,1.248835,3.855304,0.545413,12000,-12000,0,0,409.066667,-237.933333,-nan,0.000000
6296953,1.085839,3.599736,0.585321,12000,-12000,0,0,404.266667,-245.600000,-nan,0.000000
6306953,1.507658,4.299020,0.625580,12000,-12000,0,0,401.933333,-290.133333,-nan,0.000000
6316953,1.315018,4.045053,0.667548,12000,-12000,0,0,421.266667,-285.866667,-nan,0.000000
6326953,1.811281,4.708434,0.711093,12000,-12000,0,0,430.066667,-304.933333,-nan,0.000000
6336953,1.580923,4.454139,0.756268,12000,-12000,0,0,439.600000,-305.800000,-nan,0.000000
6346953,2.129496,5.100737,0.802472,12000,-12000,0,0,443.600000,-320.400000,-nan,0.000000
6356953,1.863518,4.856802,0.849988,12000,-12000,0,0,430.000000,-340.533333,-nan,0.000000
6366954,2.494350,5.467987,0.898912,10338,-10338,0,0,438.200000,-345.733333,-nan,0.000000
6376953,2.192062,5.240743,0.948703,10338,-10338,0,0,449.800000,-347.666667,-nan,0.000000
6386953,2.833943,5.754715,0.999052,7713,-7713,0,0,430.466667,-288.200000,-nan,0.000000
6396953,2.499232,5.552425,1.050544,7713,-7713,0,0,412.266667,-249.600000,-nan,0.000000
6406954,3.152409,5.977486,1.102494,5032,-5032,0,0,403.800000,-297.000000,-nan,0.000000
6416953,2.799060,5.811041,1.153920,5032,-5032,0,0,394.066667,-339.266667,-nan,0.000000
6426954,3.512091,6.160945,1.204624,2660,-2660,0,0,376.066667,-317.000000,-nan,0.000000
6436953,3.153524,6.034601,1.254678,2660,-2660,0,0,341.600000,-278.466667,-nan,0.000000
6446954,3.906426,6.301318,1.303845,453,-453,0,0,303.066667,-234.333333,-nan,0.000000
6456953,3.550673,6.214083,1.352072,453,-453,0,0,272.466667,-215.000000,-nan,0.000000
6466954,4.178015,6.409626,1.398631,-1555,1555,0,0,221.266667,-170.266667,-nan,0.000000
6476953,3.845924,6.360219,1.442835,-1555,1555,0,0,182.800000,-150.000000,-nan,0.000000
6486954,4.418655,6.512031,1.483222,-2973,2973,0,0,142.600000,-122.066667,0.000000,0.000000
6496953,4.146976,6.493724,1.519071,-2973,2973,0,0,92.400000,-81.933333,0.000000,0.000000
6506954,4.595428,6.573870,1.550543,-3553,3553,0,0,72.466667,-65.200000,0.000000,0.000000
6516953,4.387590,6.572997,1.577906,-3553,3553,0,0,72.466667,-53.133333,0.000000,0.000000
6526954,4.668295,6.663254,1.601212,-3770,3770,0,0,72.466667,-53.133333,0.000000,0.000000
6536953,4.516751,6.669740,1.621181,-3770,3770,0,0,73.533333,-54.000000,0.000000,0.000000
6546953,4.789819,6.762248,1.637694,-3794,3794,0,0,69.800000,-54.000000,0.000000,0.000000
6579916,4.781312,6.838479,1.662124,-3346,3346,0,0,62.466667,-37.933333,0.000000,0.000000
6589916,4.802582,6.836535,1.662632,-2457,2457,0,0,52.466667,14.000000,0.000000,0.000000
6599916,4.814846,6.835386,1.661010,-2457,2457,0,0,51.400000,8.400000,0.000000,0.000000
6609916,4.840397,6.833057,1.657633,-1784,1784,0,0,22.133333,36.733333,0.000000,0.000000
6619916,4.874058,6.830122,1.653184,-1784,1784,0,0,-17.733333,28.866667,0.000000,0.000000
6629916,4.913244,6.826894,1.648008,-1275,1275,0,0,-21.200000,29.466667,0.000000,0.000000
6639916,4.954902,6.823688,1.642508,-1275,1275,0,0,-24.866667,23.466667,0.000000,0.000000
6649916,4.994971,6.820820,1.637219,-946,946,0,0,-25.066667,22.400000,0.000000,0.000000
6659916,5.031462,6.818394,1.632405,-946,946,0,0,-24.000000,22.400000,0.000000,0.000000
6669916,5.062113,6.816493,1.628362,-850,850,0,0,-22.800000,20.866667,0.000000,0.000000
6679916,5.085569,6.815122,1.625268,-850,850,0,0,-19.333333,20.866667,0.000000,0.000000
6689916,5.101909,6.814209,1.623114,-940,940,0,0,-17.933333,20.866667,0.000000,0.000000
6699916,5.112138,6.813656,1.621765,-940,940,0,0,-17.933333,20.000000,0.000000,0.000000
6709917,5.118066,6.813342,1.620984,-1076,1076,0,0,-18.133333,19.733333,0.000000,0.000000
6719916,5.121063,6.813185,1.620589,-1076,1076,0,0,-17.800000,19.733333,0.000000,0.000000
6729916,5.121226,6.813177,1.620567,-1169,1169,0,0,-17.800000,17.533333,0.000000,0.000000
6739916,5.119333,6.813276,1.620817,-1169,1169,0,0,-14.400000,16.400000,0.000000,0.000000
6749916,5.104670,6.814018,1.621137,-1242,1242,0,0,-14.066667,17.666667,0.000000,0.000000
6759916,5.102527,6.814131,1.621420,-1242,1242,0,0,-14.066667,20.466667,0.000000,0.000000
6769917,5.113389,6.813583,1.621600,-1247,1247,0,0,-25.400000,20.000000,0.000000,0.000000
